Group	Genes	Taxa	IDs
ORTHOMCL1035	25	1	Spis24541(StylophoraPistillata) Spis24346(StylophoraPistillata) Spis5138(StylophoraPistillata) Spis24500(StylophoraPistillata) Spis4287(StylophoraPistillata) Spis8999(StylophoraPistillata) Spis12151(StylophoraPistillata) Spis5656(StylophoraPistillata) Spis23673(StylophoraPistillata) Spis14425(StylophoraPistillata) Spis8725(StylophoraPistillata) Spis22670(StylophoraPistillata) Spis23215(StylophoraPistillata) Spis16012(StylophoraPistillata) Spis14141(StylophoraPistillata) Spis24086(StylophoraPistillata) Spis20965(StylophoraPistillata) Spis12926(StylophoraPistillata) Spis23962(StylophoraPistillata) Spis22970(StylophoraPistillata) Spis18590(StylophoraPistillata) Spis24176(StylophoraPistillata) Spis18204(StylophoraPistillata) Spis14565(StylophoraPistillata) Spis16776(StylophoraPistillata)
ORTHOMCL1440	22	1	Spis1778(StylophoraPistillata) Spis20347(StylophoraPistillata) Spis22628(StylophoraPistillata) Spis21069(StylophoraPistillata) Spis11808(StylophoraPistillata) Spis24466(StylophoraPistillata) Spis14533(StylophoraPistillata) Spis8234(StylophoraPistillata) Spis11816(StylophoraPistillata) Spis1780(StylophoraPistillata) Spis10317(StylophoraPistillata) Spis21345(StylophoraPistillata) Spis11982(StylophoraPistillata) Spis10315(StylophoraPistillata) Spis20061(StylophoraPistillata) Spis1775(StylophoraPistillata) Spis23062(StylophoraPistillata) Spis21902(StylophoraPistillata) Spis24064(StylophoraPistillata) Spis21820(StylophoraPistillata) Spis21888(StylophoraPistillata) Spis19511(StylophoraPistillata)
ORTHOMCL2098	19	1	Spis24707(StylophoraPistillata) Spis8370(StylophoraPistillata) Spis24117(StylophoraPistillata) Spis18297(StylophoraPistillata) Spis20095(StylophoraPistillata) Spis10525(StylophoraPistillata) Spis18301(StylophoraPistillata) Spis18413(StylophoraPistillata) Spis18299(StylophoraPistillata) Spis18411(StylophoraPistillata) Spis6687(StylophoraPistillata) Spis18303(StylophoraPistillata) Spis23795(StylophoraPistillata) Spis8210(StylophoraPistillata) Spis24118(StylophoraPistillata) Spis20094(StylophoraPistillata) Spis18412(StylophoraPistillata) Spis18296(StylophoraPistillata) Spis8369(StylophoraPistillata)
ORTHOMCL2645	17	1	Spis25329(StylophoraPistillata) Spis24350(StylophoraPistillata) Spis23573(StylophoraPistillata) Spis19592(StylophoraPistillata) Spis22580(StylophoraPistillata) Spis22572(StylophoraPistillata) Spis21893(StylophoraPistillata) Spis23451(StylophoraPistillata) Spis19593(StylophoraPistillata) Spis23630(StylophoraPistillata) Spis23450(StylophoraPistillata) Spis20937(StylophoraPistillata) Spis21386(StylophoraPistillata) Spis22261(StylophoraPistillata) Spis20422(StylophoraPistillata) Spis24060(StylophoraPistillata) Spis21388(StylophoraPistillata)
ORTHOMCL2992	16	1	Spis24391(StylophoraPistillata) Spis7203(StylophoraPistillata) Spis12155(StylophoraPistillata) Spis23097(StylophoraPistillata) Spis343(StylophoraPistillata) Spis13766(StylophoraPistillata) Spis15697(StylophoraPistillata) Spis23095(StylophoraPistillata) Spis1976(StylophoraPistillata) Spis6273(StylophoraPistillata) Spis17304(StylophoraPistillata) Spis22741(StylophoraPistillata) Spis16047(StylophoraPistillata) Spis21154(StylophoraPistillata) Spis18534(StylophoraPistillata) Spis19973(StylophoraPistillata)
ORTHOMCL3852	14	1	Spis16809(StylophoraPistillata) Spis19705(StylophoraPistillata) Spis9399(StylophoraPistillata) Spis23837(StylophoraPistillata) Spis15817(StylophoraPistillata) Spis8230(StylophoraPistillata) Spis11804(StylophoraPistillata) Spis12389(StylophoraPistillata) Spis8236(StylophoraPistillata) Spis22355(StylophoraPistillata) Spis23342(StylophoraPistillata) Spis10310(StylophoraPistillata) Spis11803(StylophoraPistillata) Spis18685(StylophoraPistillata)
ORTHOMCL3853	14	1	Spis731(StylophoraPistillata) Spis24275(StylophoraPistillata) Spis24419(StylophoraPistillata) Spis11518(StylophoraPistillata) Spis23457(StylophoraPistillata) Spis11520(StylophoraPistillata) Spis6295(StylophoraPistillata) Spis23083(StylophoraPistillata) Spis11519(StylophoraPistillata) Spis24170(StylophoraPistillata) Spis11521(StylophoraPistillata) Spis13090(StylophoraPistillata) Spis8159(StylophoraPistillata) Spis19640(StylophoraPistillata)
ORTHOMCL3854	14	1	Spis21485(StylophoraPistillata) Spis13070(StylophoraPistillata) Spis13072(StylophoraPistillata) Spis14283(StylophoraPistillata) Spis16770(StylophoraPistillata) Spis15453(StylophoraPistillata) Spis13071(StylophoraPistillata) Spis21482(StylophoraPistillata) Spis13076(StylophoraPistillata) Spis16377(StylophoraPistillata) Spis22077(StylophoraPistillata) Spis16061(StylophoraPistillata) Spis16381(StylophoraPistillata) Spis21484(StylophoraPistillata)
ORTHOMCL4459	13	1	Spis24951(StylophoraPistillata) Spis19222(StylophoraPistillata) Spis24491(StylophoraPistillata) Spis24810(StylophoraPistillata) Spis21389(StylophoraPistillata) Spis24512(StylophoraPistillata) Spis22258(StylophoraPistillata) Spis22648(StylophoraPistillata) Spis23831(StylophoraPistillata) Spis24155(StylophoraPistillata) Spis24202(StylophoraPistillata) Spis22855(StylophoraPistillata) Spis21892(StylophoraPistillata)
ORTHOMCL6267	11	1	Spis9091(StylophoraPistillata) Spis11667(StylophoraPistillata) Spis7519(StylophoraPistillata) Spis14072(StylophoraPistillata) Spis15851(StylophoraPistillata) Spis13318(StylophoraPistillata) Spis20324(StylophoraPistillata) Spis24238(StylophoraPistillata) Spis19732(StylophoraPistillata) Spis14232(StylophoraPistillata) Spis16414(StylophoraPistillata)
ORTHOMCL6268	11	1	Spis24497(StylophoraPistillata) Spis3736(StylophoraPistillata) Spis24079(StylophoraPistillata) Spis2089(StylophoraPistillata) Spis21443(StylophoraPistillata) Spis23675(StylophoraPistillata) Spis15388(StylophoraPistillata) Spis12160(StylophoraPistillata) Spis14228(StylophoraPistillata) Spis23924(StylophoraPistillata) Spis15957(StylophoraPistillata)
ORTHOMCL6269	11	1	Spis22676(StylophoraPistillata) Spis3534(StylophoraPistillata) Spis12584(StylophoraPistillata) Spis18173(StylophoraPistillata) Spis1267(StylophoraPistillata) Spis22302(StylophoraPistillata) Spis23335(StylophoraPistillata) Spis2746(StylophoraPistillata) Spis21918(StylophoraPistillata) Spis9271(StylophoraPistillata) Spis21525(StylophoraPistillata)
ORTHOMCL6270	11	1	Spis22162(StylophoraPistillata) Spis13450(StylophoraPistillata) Spis23969(StylophoraPistillata) Spis9093(StylophoraPistillata) Spis5631(StylophoraPistillata) Spis1799(StylophoraPistillata) Spis20277(StylophoraPistillata) Spis7905(StylophoraPistillata) Spis21238(StylophoraPistillata) Spis23486(StylophoraPistillata) Spis11862(StylophoraPistillata)
ORTHOMCL8501	9	1	Spis25357(StylophoraPistillata) Spis25505(StylophoraPistillata) Spis25499(StylophoraPistillata) Spis25443(StylophoraPistillata) Spis25630(StylophoraPistillata) Spis25720(StylophoraPistillata) Spis25548(StylophoraPistillata) Spis25684(StylophoraPistillata) Spis24576(StylophoraPistillata)
ORTHOMCL8502	9	1	Spis25407(StylophoraPistillata) Spis23669(StylophoraPistillata) Spis16386(StylophoraPistillata) Spis21917(StylophoraPistillata) Spis23895(StylophoraPistillata) Spis22950(StylophoraPistillata) Spis22502(StylophoraPistillata) Spis21800(StylophoraPistillata) Spis21728(StylophoraPistillata)
ORTHOMCL8503	9	1	Spis24598(StylophoraPistillata) Spis12187(StylophoraPistillata) Spis20515(StylophoraPistillata) Spis6051(StylophoraPistillata) Spis23411(StylophoraPistillata) Spis23011(StylophoraPistillata) Spis21302(StylophoraPistillata) Spis23434(StylophoraPistillata) Spis20138(StylophoraPistillata)
ORTHOMCL8504	9	1	Spis10657(StylophoraPistillata) Spis5989(StylophoraPistillata) Spis6158(StylophoraPistillata) Spis22072(StylophoraPistillata) Spis17224(StylophoraPistillata) Spis23814(StylophoraPistillata) Spis21126(StylophoraPistillata) Spis12942(StylophoraPistillata) Spis18967(StylophoraPistillata)
ORTHOMCL8505	9	1	Spis14646(StylophoraPistillata) Spis6601(StylophoraPistillata) Spis19031(StylophoraPistillata) Spis16384(StylophoraPistillata) Spis21738(StylophoraPistillata) Spis13427(StylophoraPistillata) Spis16533(StylophoraPistillata) Spis22872(StylophoraPistillata) Spis16639(StylophoraPistillata)
ORTHOMCL9741	8	1	Spis25165(StylophoraPistillata) Spis24924(StylophoraPistillata) Spis11042(StylophoraPistillata) Spis24073(StylophoraPistillata) Spis8871(StylophoraPistillata) Spis1042(StylophoraPistillata) Spis23937(StylophoraPistillata) Spis8872(StylophoraPistillata)
ORTHOMCL9742	8	1	Spis24995(StylophoraPistillata) Spis24908(StylophoraPistillata) Spis21393(StylophoraPistillata) Spis21391(StylophoraPistillata) Spis21395(StylophoraPistillata) Spis23458(StylophoraPistillata) Spis21392(StylophoraPistillata) Spis19092(StylophoraPistillata)
ORTHOMCL10950	7	1	Spis24725(StylophoraPistillata) Spis24355(StylophoraPistillata) Spis22574(StylophoraPistillata) Spis19860(StylophoraPistillata) Spis20938(StylophoraPistillata) Spis20945(StylophoraPistillata) Spis22579(StylophoraPistillata)
ORTHOMCL10951	7	1	Spis25577(StylophoraPistillata) Spis25582(StylophoraPistillata) Spis20423(StylophoraPistillata) Spis21203(StylophoraPistillata) Spis21294(StylophoraPistillata) Spis20677(StylophoraPistillata) Spis21298(StylophoraPistillata)
ORTHOMCL10952	7	1	Spis9364(StylophoraPistillata) Spis19472(StylophoraPistillata) Spis23197(StylophoraPistillata) Spis3229(StylophoraPistillata) Spis17659(StylophoraPistillata) Spis20356(StylophoraPistillata) Spis23066(StylophoraPistillata)
ORTHOMCL10953	7	1	Spis24794(StylophoraPistillata) Spis8654(StylophoraPistillata) Spis23311(StylophoraPistillata) Spis20858(StylophoraPistillata) Spis24022(StylophoraPistillata) Spis20903(StylophoraPistillata) Spis8657(StylophoraPistillata)
ORTHOMCL10954	7	1	Spis24628(StylophoraPistillata) Spis22624(StylophoraPistillata) Spis22622(StylophoraPistillata) Spis22618(StylophoraPistillata) Spis8897(StylophoraPistillata) Spis20901(StylophoraPistillata) Spis9884(StylophoraPistillata)
ORTHOMCL10955	7	1	Spis5671(StylophoraPistillata) Spis18551(StylophoraPistillata) Spis11960(StylophoraPistillata) Spis2349(StylophoraPistillata) Spis19086(StylophoraPistillata) Spis20725(StylophoraPistillata) Spis22639(StylophoraPistillata)
ORTHOMCL12359	6	1	Spis15010(StylophoraPistillata) Spis25495(StylophoraPistillata) Spis25379(StylophoraPistillata) Spis25482(StylophoraPistillata) Spis25388(StylophoraPistillata) Spis15002(StylophoraPistillata)
ORTHOMCL12360	6	1	Spis3133(StylophoraPistillata) Spis5991(StylophoraPistillata) Spis2086(StylophoraPistillata) Spis2709(StylophoraPistillata) Spis7774(StylophoraPistillata) Spis17163(StylophoraPistillata)
ORTHOMCL12361	6	1	Spis22370(StylophoraPistillata) Spis19073(StylophoraPistillata) Spis19075(StylophoraPistillata) Spis20492(StylophoraPistillata) Spis19080(StylophoraPistillata) Spis22169(StylophoraPistillata)
ORTHOMCL12362	6	1	Spis25247(StylophoraPistillata) Spis25304(StylophoraPistillata) Spis24892(StylophoraPistillata) Spis23862(StylophoraPistillata) Spis23714(StylophoraPistillata) Spis23860(StylophoraPistillata)
ORTHOMCL12363	6	1	Spis25700(StylophoraPistillata) Spis24724(StylophoraPistillata) Spis23505(StylophoraPistillata) Spis10634(StylophoraPistillata) Spis17812(StylophoraPistillata) Spis10526(StylophoraPistillata)
ORTHOMCL12364	6	1	Spis23469(StylophoraPistillata) Spis18639(StylophoraPistillata) Spis17195(StylophoraPistillata) Spis21150(StylophoraPistillata) Spis10206(StylophoraPistillata) Spis20697(StylophoraPistillata)
ORTHOMCL12365	6	1	Spis8727(StylophoraPistillata) Spis3418(StylophoraPistillata) Spis20055(StylophoraPistillata) Spis16428(StylophoraPistillata) Spis16956(StylophoraPistillata) Spis22061(StylophoraPistillata)
ORTHOMCL12366	6	1	Spis3446(StylophoraPistillata) Spis3741(StylophoraPistillata) Spis20605(StylophoraPistillata) Spis20308(StylophoraPistillata) Spis23170(StylophoraPistillata) Spis13327(StylophoraPistillata)
ORTHOMCL12367	6	1	Spis16514(StylophoraPistillata) Spis16518(StylophoraPistillata) Spis16525(StylophoraPistillata) Spis18500(StylophoraPistillata) Spis16527(StylophoraPistillata) Spis14332(StylophoraPistillata)
ORTHOMCL14067	5	1	Spis24965(StylophoraPistillata) Spis25346(StylophoraPistillata) Spis25226(StylophoraPistillata) Spis25082(StylophoraPistillata) Spis23861(StylophoraPistillata)
ORTHOMCL14068	5	1	Spis24757(StylophoraPistillata) Spis24743(StylophoraPistillata) Spis24308(StylophoraPistillata) Spis22420(StylophoraPistillata) Spis13753(StylophoraPistillata)
ORTHOMCL14069	5	1	Spis25593(StylophoraPistillata) Spis20091(StylophoraPistillata) Spis24303(StylophoraPistillata) Spis25026(StylophoraPistillata) Spis24006(StylophoraPistillata)
ORTHOMCL14070	5	1	Spis21857(StylophoraPistillata) Spis16520(StylophoraPistillata) Spis17899(StylophoraPistillata) Spis23015(StylophoraPistillata) Spis22331(StylophoraPistillata)
ORTHOMCL14071	5	1	Spis24479(StylophoraPistillata) Spis14753(StylophoraPistillata) Spis16300(StylophoraPistillata) Spis23310(StylophoraPistillata) Spis23818(StylophoraPistillata)
