Group	Genes	Taxa	IDs
ORTHOMCL400	37	1	aug_v2a.03007.t2(AcroporaDigitifera) aug_v2a.11699.t1(AcroporaDigitifera) aug_v2a.00527.t1(AcroporaDigitifera) aug_v2a.02891.t1(AcroporaDigitifera) aug_v2a.21286.t1(AcroporaDigitifera) aug_v2a.03274.t1(AcroporaDigitifera) aug_v2a.10996.t1(AcroporaDigitifera) aug_v2a.24617.t1(AcroporaDigitifera) aug_v2a.22670.t1(AcroporaDigitifera) aug_v2a.13371.t1(AcroporaDigitifera) aug_v2a.13879.t1(AcroporaDigitifera) aug_v2a.16073.t1(AcroporaDigitifera) aug_v2a.04421.t1(AcroporaDigitifera) aug_v2a.07781.t1(AcroporaDigitifera) aug_v2a.19764.t1(AcroporaDigitifera) aug_v2a.11909.t1(AcroporaDigitifera) aug_v2a.07873.t1(AcroporaDigitifera) aug_v2a.12407.t1(AcroporaDigitifera) aug_v2a.19104.t1(AcroporaDigitifera) aug_v2a.06851.t1(AcroporaDigitifera) aug_v2a.11698.t1(AcroporaDigitifera) aug_v2a.10621.t1(AcroporaDigitifera) aug_v2a.24717.t1(AcroporaDigitifera) aug_v2a.03272.t1(AcroporaDigitifera) aug_v2a.14769.t1(AcroporaDigitifera) aug_v2a.00450.t1(AcroporaDigitifera) aug_v2a.24723.t1(AcroporaDigitifera) aug_v2a.03007.t1(AcroporaDigitifera) aug_v2a.11153.t1(AcroporaDigitifera) aug_v2a.01815.t1(AcroporaDigitifera) aug_v2a.13470.t1(AcroporaDigitifera) aug_v2a.04689.t1(AcroporaDigitifera) aug_v2a.12082.t1(AcroporaDigitifera) aug_v2a.07782.t1(AcroporaDigitifera) aug_v2a.22670.t2(AcroporaDigitifera) aug_v2a.24737.t1(AcroporaDigitifera) aug_v2a.03006.t1(AcroporaDigitifera)
ORTHOMCL402	37	1	aug_v2a.13745.t1(AcroporaDigitifera) aug_v2a.17556.t1(AcroporaDigitifera) aug_v2a.13618.t1(AcroporaDigitifera) aug_v2a.16873.t1(AcroporaDigitifera) aug_v2a.11635.t1(AcroporaDigitifera) aug_v2a.24222.t1(AcroporaDigitifera) aug_v2a.04576.t1(AcroporaDigitifera) aug_v2a.02682.t1(AcroporaDigitifera) aug_v2a.17717.t1(AcroporaDigitifera) aug_v2a.19275.t1(AcroporaDigitifera) aug_v2a.03067.t1(AcroporaDigitifera) aug_v2a.12734.t1(AcroporaDigitifera) aug_v2a.13115.t1(AcroporaDigitifera) aug_v2a.14476.t1(AcroporaDigitifera) aug_v2a.09117.t1(AcroporaDigitifera) aug_v2a.21319.t1(AcroporaDigitifera) aug_v2a.16504.t1(AcroporaDigitifera) aug_v2a.19273.t1(AcroporaDigitifera) aug_v2a.11248.t1(AcroporaDigitifera) aug_v2a.13619.t1(AcroporaDigitifera) aug_v2a.11636.t1(AcroporaDigitifera) aug_v2a.13140.t1(AcroporaDigitifera) aug_v2a.24625.t1(AcroporaDigitifera) aug_v2a.06679.t1(AcroporaDigitifera) aug_v2a.07726.t2(AcroporaDigitifera) aug_v2a.22834.t1(AcroporaDigitifera) aug_v2a.12781.t1(AcroporaDigitifera) aug_v2a.19701.t1(AcroporaDigitifera) aug_v2a.19347.t1(AcroporaDigitifera) aug_v2a.05033.t1(AcroporaDigitifera) aug_v2a.24357.t1(AcroporaDigitifera) aug_v2a.24475.t1(AcroporaDigitifera) aug_v2a.08096.t1(AcroporaDigitifera) aug_v2a.23600.t1(AcroporaDigitifera) aug_v2a.19278.t1(AcroporaDigitifera) aug_v2a.00367.t1(AcroporaDigitifera) aug_v2a.07726.t1(AcroporaDigitifera)
ORTHOMCL793	27	1	aug_v2a.17223.t2(AcroporaDigitifera) aug_v2a.19762.t1(AcroporaDigitifera) aug_v2a.16744.t2(AcroporaDigitifera) aug_v2a.23819.t1(AcroporaDigitifera) aug_v2a.15564.t3(AcroporaDigitifera) aug_v2a.11607.t2(AcroporaDigitifera) aug_v2a.17223.t1(AcroporaDigitifera) aug_v2a.15466.t1(AcroporaDigitifera) aug_v2a.06315.t1(AcroporaDigitifera) aug_v2a.22007.t1(AcroporaDigitifera) aug_v2a.02954.t1(AcroporaDigitifera) aug_v2a.16744.t1(AcroporaDigitifera) aug_v2a.20160.t1(AcroporaDigitifera) aug_v2a.15564.t2(AcroporaDigitifera) aug_v2a.11607.t1(AcroporaDigitifera) aug_v2a.15742.t1(AcroporaDigitifera) aug_v2a.06140.t1(AcroporaDigitifera) aug_v2a.12382.t1(AcroporaDigitifera) aug_v2a.15564.t1(AcroporaDigitifera) aug_v2a.03146.t1(AcroporaDigitifera) aug_v2a.08058.t1(AcroporaDigitifera) aug_v2a.22890.t1(AcroporaDigitifera) aug_v2a.02954.t2(AcroporaDigitifera) aug_v2a.21527.t1(AcroporaDigitifera) aug_v2a.19633.t1(AcroporaDigitifera) aug_v2a.06140.t2(AcroporaDigitifera) aug_v2a.23055.t1(AcroporaDigitifera)
ORTHOMCL2103	18	1	aug_v2a.17602.t1(AcroporaDigitifera) aug_v2a.22523.t1(AcroporaDigitifera) aug_v2a.18051.t1(AcroporaDigitifera) aug_v2a.17361.t1(AcroporaDigitifera) aug_v2a.03128.t1(AcroporaDigitifera) aug_v2a.19386.t1(AcroporaDigitifera) aug_v2a.23607.t1(AcroporaDigitifera) aug_v2a.06486.t1(AcroporaDigitifera) aug_v2a.18612.t1(AcroporaDigitifera) aug_v2a.05656.t1(AcroporaDigitifera) aug_v2a.24288.t1(AcroporaDigitifera) aug_v2a.24657.t1(AcroporaDigitifera) aug_v2a.11441.t1(AcroporaDigitifera) aug_v2a.21771.t1(AcroporaDigitifera) aug_v2a.04526.t1(AcroporaDigitifera) aug_v2a.19974.t1(AcroporaDigitifera) aug_v2a.24278.t1(AcroporaDigitifera) aug_v2a.07956.t1(AcroporaDigitifera)
ORTHOMCL2355	17	1	aug_v2a.17849.t1(AcroporaDigitifera) aug_v2a.21524.t1(AcroporaDigitifera) aug_v2a.03077.t1(AcroporaDigitifera) aug_v2a.20347.t1(AcroporaDigitifera) aug_v2a.18557.t1(AcroporaDigitifera) aug_v2a.22626.t1(AcroporaDigitifera) aug_v2a.09903.t1(AcroporaDigitifera) aug_v2a.01926.t1(AcroporaDigitifera) aug_v2a.01965.t1(AcroporaDigitifera) aug_v2a.00036.t2(AcroporaDigitifera) aug_v2a.20277.t1(AcroporaDigitifera) aug_v2a.04574.t1(AcroporaDigitifera) aug_v2a.01927.t1(AcroporaDigitifera) aug_v2a.01269.t1(AcroporaDigitifera) aug_v2a.00036.t1(AcroporaDigitifera) aug_v2a.03077.t2(AcroporaDigitifera) aug_v2a.06509.t1(AcroporaDigitifera)
ORTHOMCL2357	17	1	aug_v2a.22005.t1(AcroporaDigitifera) aug_v2a.00544.t1(AcroporaDigitifera) aug_v2a.00537.t2(AcroporaDigitifera) aug_v2a.15955.t1(AcroporaDigitifera) aug_v2a.00537.t3(AcroporaDigitifera) aug_v2a.15956.t1(AcroporaDigitifera) aug_v2a.00541.t2(AcroporaDigitifera) aug_v2a.11567.t1(AcroporaDigitifera) aug_v2a.00542.t1(AcroporaDigitifera) aug_v2a.00538.t1(AcroporaDigitifera) aug_v2a.04457.t1(AcroporaDigitifera) aug_v2a.18792.t1(AcroporaDigitifera) aug_v2a.00537.t1(AcroporaDigitifera) aug_v2a.00541.t1(AcroporaDigitifera) aug_v2a.04459.t1(AcroporaDigitifera) aug_v2a.00539.t1(AcroporaDigitifera) aug_v2a.24724.t1(AcroporaDigitifera)
ORTHOMCL2370	17	1	aug_v2a.21677.t1(AcroporaDigitifera) aug_v2a.18257.t1(AcroporaDigitifera) aug_v2a.11263.t1(AcroporaDigitifera) aug_v2a.18022.t1(AcroporaDigitifera) aug_v2a.00552.t1(AcroporaDigitifera) aug_v2a.02133.t1(AcroporaDigitifera) aug_v2a.21044.t2(AcroporaDigitifera) aug_v2a.08990.t1(AcroporaDigitifera) aug_v2a.22362.t1(AcroporaDigitifera) aug_v2a.18988.t1(AcroporaDigitifera) aug_v2a.06634.t1(AcroporaDigitifera) aug_v2a.23812.t1(AcroporaDigitifera) aug_v2a.08672.t1(AcroporaDigitifera) aug_v2a.21044.t1(AcroporaDigitifera) aug_v2a.23213.t1(AcroporaDigitifera) aug_v2a.04138.t1(AcroporaDigitifera) aug_v2a.04274.t1(AcroporaDigitifera)
ORTHOMCL2397	17	1	aug_v2a.15774.t1(AcroporaDigitifera) aug_v2a.04996.t1(AcroporaDigitifera) aug_v2a.22638.t1(AcroporaDigitifera) aug_v2a.00187.t1(AcroporaDigitifera) aug_v2a.17268.t1(AcroporaDigitifera) aug_v2a.19354.t1(AcroporaDigitifera) aug_v2a.22322.t1(AcroporaDigitifera) aug_v2a.07203.t1(AcroporaDigitifera) aug_v2a.18522.t1(AcroporaDigitifera) aug_v2a.13098.t1(AcroporaDigitifera) aug_v2a.22505.t1(AcroporaDigitifera) aug_v2a.03671.t1(AcroporaDigitifera) aug_v2a.07204.t1(AcroporaDigitifera) aug_v2a.18523.t1(AcroporaDigitifera) aug_v2a.04858.t1(AcroporaDigitifera) aug_v2a.23581.t1(AcroporaDigitifera) aug_v2a.07202.t1(AcroporaDigitifera)
ORTHOMCL3465	14	1	aug_v2a.19728.t1(AcroporaDigitifera) aug_v2a.18783.t1(AcroporaDigitifera) aug_v2a.02520.t1(AcroporaDigitifera) aug_v2a.18371.t1(AcroporaDigitifera) aug_v2a.06605.t1(AcroporaDigitifera) aug_v2a.02521.t1(AcroporaDigitifera) aug_v2a.02522.t1(AcroporaDigitifera) aug_v2a.18784.t1(AcroporaDigitifera) aug_v2a.02522.t2(AcroporaDigitifera) aug_v2a.18371.t2(AcroporaDigitifera) aug_v2a.06603.t1(AcroporaDigitifera) aug_v2a.06604.t1(AcroporaDigitifera) aug_v2a.19727.t1(AcroporaDigitifera) aug_v2a.18783.t2(AcroporaDigitifera)
ORTHOMCL3558	14	1	aug_v2a.08092.t1(AcroporaDigitifera) aug_v2a.03874.t1(AcroporaDigitifera) aug_v2a.16573.t1(AcroporaDigitifera) aug_v2a.08091.t1(AcroporaDigitifera) aug_v2a.16395.t1(AcroporaDigitifera) aug_v2a.22782.t1(AcroporaDigitifera) aug_v2a.19272.t1(AcroporaDigitifera) aug_v2a.03249.t1(AcroporaDigitifera) aug_v2a.08090.t1(AcroporaDigitifera) aug_v2a.21066.t1(AcroporaDigitifera) aug_v2a.03875.t1(AcroporaDigitifera) aug_v2a.22021.t1(AcroporaDigitifera) aug_v2a.19557.t1(AcroporaDigitifera) aug_v2a.23202.t1(AcroporaDigitifera)
