GO.ID,Term,Annotated,Significant,Expected,Rank in classicFisher,classicFisher,elimFisher,topgoFisher,parentchildFisher
GO:0007186,G-protein coupled receptor signaling pat...,1243,134,31.45,1,< 1e-30,< 1e-30,< 1e-30,1.7e-17
GO:0008218,bioluminescence,27,6,0.68,14,4.6e-05,4.6e-05,4.6e-05,4.1e-08
GO:0007250,activation of NF-kappaB-inducing kinase ...,29,4,0.73,15,0.0057,0.0057,0.0057,0.4536
GO:0046330,positive regulation of JNK cascade,29,4,0.73,16,0.0057,0.0057,0.0057,0.8667
GO:0035434,copper ion transmembrane transport,8,2,0.2,44,0.0161,0.0161,0.0161,0.0269
GO:0000077,DNA damage checkpoint,24,3,0.61,54,0.0218,0.0218,0.0218,0.0035
GO:0016051,carbohydrate biosynthetic process,24,3,0.61,55,0.0218,0.0218,0.0218,6.4e-05
GO:0033554,cellular response to stress,194,9,4.91,77,0.0574,0.3918,0.0347,0.9336
GO:0015074,DNA integration,53,4,1.34,68,0.0445,0.0445,0.0445,0.0018
GO:0035278,miRNA mediated inhibition of translation,14,2,0.35,69,0.0475,0.0475,0.0475,0.8667
GO:0018996,molting cycle, collagen and cuticulin-ba...,2,1,0.05,74,0.0500,0.0500,0.0500,1.0000
GO:0007507,heart development,4,1,0.1,86,0.0975,0.0975,0.0975,0.0328
GO:0007411,axon guidance,6,1,0.15,97,0.1426,0.1426,0.1426,0.8571
GO:0035385,Roundabout signaling pathway,6,1,0.15,98,0.1426,0.1426,0.1426,0.0937
GO:0019538,protein metabolic process,1514,16,38.31,222,1.0000,1.0000,0.1442,0.0324
GO:0006979,response to oxidative stress,28,2,0.71,102,0.1572,0.1572,0.1572,0.3026
GO:0006310,DNA recombination,62,3,1.57,109,0.2067,0.2067,0.2067,0.0483
GO:0070588,calcium ion transmembrane transport,37,2,0.94,113,0.2404,0.2404,0.2404,0.3968
GO:0016567,protein ubiquitination,59,2,1.49,144,0.4426,0.4426,0.4426,0.9048
GO:0042981,regulation of apoptotic process,98,3,2.48,147,0.4534,0.4534,0.4534,0.5555
GO:0055085,transmembrane transport,578,16,14.63,137,0.3914,0.3914,0.4631,0.9655
