GO.ID,Term,Observed,Expected,p
GO:0006355,regulation of transcription DNA-templat...,380,309.81,3.7e-9
GO:0035556,intracellular signal transduction,242,195.84,4.2e-7
GO:0007018,microtubule-based movement,68,47.86,8.1e-7
GO:0006886,intracellular protein transport,84,64.86,1.2e-6
GO:0006511,ubiquitin-dependent protein catabolic pr...,63,45.34,7.3e-6
GO:0016579,protein deubiquitination,36,23.93,1.4e-5
GO:0016192,vesicle-mediated transport,113,78.08,2.7e-5
GO:0055114,oxidation-reduction process,402,353.89,5.3e-5
GO:0006281,DNA repair,106,78.08,9.2e-5
GO:0006357,regulation of transcription from RNA pol...,52,35.89,9.3e-5
GO:0055085,transmembrane transport,405,363.97,3.4e-4
GO:0035023,regulation of Rho protein signal transdu...,33,23.3,3.5e-4
GO:0006397,mRNA processing,51,40.93,7.9e-4
GO:0006351,transcription DNA-templated,440,353.89,9.1e-4
GO:0008152,metabolic process,2860,2529.52,0.00133
GO:0006396,RNA processing,149,116.5,0.003
GO:0006887,exocytosis,25,16.37,0.00383
GO:0006364,rRNA processing,22,14.48,0.00627
GO:0006464,cellular protein modification process,603,546.58,0.00639
GO:0006338,chromatin remodeling,15,10.08,0.00974
GO:0043087,regulation of GTPase activity,16,11.33,0.00975
GO:0006298,mismatch repair,10,6.3,0.00977
GO:0045454,cell redox homeostasis,41,32.74,0.01055
GO:0006260,DNA replication,50,39.04,0.01388
GO:0030036,actin cytoskeleton organization,35,25.82,0.01535
GO:0006096,glycolytic process,9,5.67,0.01552
GO:0006904,vesicle docking involved in exocytosis,9,5.67,0.01552
GO:0007224,smoothened signaling pathway,9,5.67,0.01552
GO:0046854,phosphatidylinositol phosphorylation,9,5.67,0.01552
GO:0006457,protein folding,39,31.49,0.01979
GO:0060271,cilium morphogenesis,14,10.08,0.02107
GO:0006099,tricarboxylic acid cycle,12,8.19,0.02108
GO:0006810,transport,837,756.9,0.02383
GO:0005975,carbohydrate metabolic process,190,163.72,0.02408
GO:0006139,nucleobase-containing compound metabolic...,935,760.68,0.0242
GO:0007156,homophilic cell adhesion via plasma memb...,25,19.52,0.02779
GO:0007264,small GTPase mediated signal transductio...,109,86.27,0.03112
GO:0006629,lipid metabolic process,138,126.57,0.03491
GO:0009072,aromatic amino acid family metabolic pro...,11,6.93,0.03911
GO:0016226,iron-sulfur cluster assembly,8,5.04,0.03917
GO:0006207,'de novo' pyrimidine nucleobase biosynth...,7,4.41,0.0392
GO:0007020,microtubule nucleation,7,4.41,0.0392
GO:0046856,phosphatidylinositol dephosphorylation,7,4.41,0.0392
GO:0070588,calcium ion transmembrane transport,29,23.3,0.04371
