term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0007160,"cell-matrix adhesion",0.051%,-0.172, 4.323,3.817,11.0000,0.951,0.000,7160,0
GO:0007155,"cell adhesion",0.544%,null,null,4.844,1.0000,0.951,0.809,7160,1
GO:0007186,"G-protein coupled receptor signaling pathway",0.882%,-6.749, 0.707,5.054,1438.0000,0.678,0.000,7186,0
GO:0008152,"metabolic process",75.387%,-0.986, 5.742,6.986,32.0000,0.993,0.000,8152,0
GO:0046931,"pore complex assembly",0.006%, 6.695, 0.166,2.919,4.0000,0.901,0.023,46931,0
GO:0006468,"protein phosphorylation",4.137%,-1.727,-6.800,5.725,130.0000,0.766,0.041,6468,0
GO:0008218,"bioluminescence",0.010%, 2.130, 2.163,3.112,6.0000,0.928,0.048,8218,0
GO:0006751,"glutathione catabolic process",0.074%, 4.544,-3.807,3.977,14.0000,0.847,0.057,6751,0
GO:0050482,"arachidonic acid secretion",0.026%, 2.873, 5.361,3.528,16.0000,0.833,0.063,50482,0
GO:0006869,"lipid transport",0.270%,null,null,4.539,9.0000,0.820,0.820,50482,1
GO:0006091,"generation of precursor metabolites and energy",1.940%, 3.535, 2.273,5.396,4.0000,0.903,0.083,6091,0
GO:0016051,"carbohydrate biosynthetic process",1.079%, 1.443,-2.275,5.141,11.0000,0.829,0.088,16051,0
GO:0007275,"multicellular organism development",1.559%,-2.804, 6.911,5.301,9.0000,0.906,0.094,7275,0
GO:0042157,"lipoprotein metabolic process",0.210%, 5.243,-0.901,4.431,9.0000,0.906,0.120,42157,0
GO:0006730,"one-carbon metabolic process",0.328%,-1.565, 1.804,4.625,2.0000,0.833,0.153,6730,0
GO:0052331,"hemolysis in other organism involved in symbiotic interaction",0.002%,-4.917, 4.353,2.498,4.0000,0.870,0.164,52331,0
GO:0015074,"DNA integration",0.682%, 1.804,-7.103,4.942,42.0000,0.779,0.172,15074,0
GO:0006367,"transcription initiation from RNA polymerase II promoter",0.109%, 2.114,-6.550,4.144,3.0000,0.819,0.205,6367,0
GO:0055114,"oxidation-reduction process",15.060%,-0.333, 0.175,6.286,59.0000,0.854,0.245,55114,0
GO:0000398,"mRNA splicing, via spliceosome",0.315%, 2.881,-6.612,4.607,2.0000,0.827,0.245,398,0
GO:0033014,"tetrapyrrole biosynthetic process",0.798%, 3.073,-5.003,5.010,2.0000,0.827,0.253,33014,0
GO:0006811,"ion transport",5.344%, 2.685, 6.123,5.836,25.0000,0.883,0.256,6811,0
GO:0042981,"regulation of apoptotic process",0.313%,-4.916,-0.246,4.604,48.0000,0.773,0.258,42981,0
GO:0006915,"apoptotic process",0.406%,null,null,4.717,1.0000,0.837,0.963,42981,1
GO:0009890,"negative regulation of biosynthetic process",0.772%,-6.770,-2.556,4.996,9.0000,0.792,0.276,9890,0
GO:0000083,"regulation of transcription involved in G1/S transition of mitotic cell cycle",0.012%,-5.024,-3.984,3.205,1.0000,0.770,0.286,83,0
GO:0006541,"glutamine metabolic process",0.472%,-0.315,-1.885,4.782,2.0000,0.801,0.289,6541,0
GO:0007009,"plasma membrane organization",0.086%, 4.419, 0.193,4.044,3.0000,0.829,0.292,7009,0
GO:0006955,"immune response",0.337%,-7.207, 2.741,4.635,57.0000,0.815,0.354,6955,0
GO:0051607,"defense response to virus",0.098%,null,null,4.098,44.0000,0.798,0.806,6955,1
GO:0006480,"N-terminal protein amino acid methylation",0.010%,-2.304,-7.098,3.103,4.0000,0.849,0.381,6480,0
GO:0071805,"potassium ion transmembrane transport",0.331%, 0.875, 4.966,4.628,6.0000,0.768,0.397,71805,0
GO:0015889,"cobalamin transport",0.053%, 3.806, 5.034,3.831,2.0000,0.850,0.407,15889,0
GO:0046330,"positive regulation of JNK cascade",0.028%,-5.121,-2.069,3.549,21.0000,0.591,0.415,46330,0
GO:0043123,"positive regulation of I-kappaB kinase/NF-kappaB signaling",0.037%,null,null,3.676,2.0000,0.705,0.762,46330,1
GO:0045454,"cell redox homeostasis",0.861%,-4.587, 0.483,5.043,2.0000,0.758,0.425,45454,0
GO:0000723,"telomere maintenance",0.133%,null,null,4.232,1.0000,0.678,0.708,45454,1
GO:0006979,"response to oxidative stress",0.575%,-7.384, 2.305,4.868,6.0000,0.786,0.441,6979,0
GO:0006508,"proteolysis",5.223%,-1.467,-7.426,5.826,102.0000,0.840,0.448,6508,0
GO:0016055,"Wnt signaling pathway",0.140%,-5.949, 0.373,4.253,9.0000,0.700,0.449,16055,0
GO:0006644,"phospholipid metabolic process",1.209%,-1.630,-0.717,5.191,16.0000,0.779,0.465,6644,0
GO:0006478,"peptidyl-tyrosine sulfation",0.010%,-0.545,-6.101,3.125,8.0000,0.837,0.480,6478,0
GO:0007267,"cell-cell signaling",0.407%,-4.885, 2.437,4.718,2.0000,0.770,0.491,7267,0
GO:0006334,"nucleosome assembly",0.089%, 6.549, 0.028,4.057,3.0000,0.872,0.496,6334,0
GO:0007264,"small GTPase mediated signal transduction",0.485%,-7.042, 0.458,4.794,5.0000,0.685,0.504,7264,0
GO:0010508,"positive regulation of autophagy",0.037%,-7.328,-1.863,3.676,1.0000,0.835,0.507,10508,0
GO:0006486,"protein glycosylation",0.317%,-1.783,-4.779,4.610,4.0000,0.713,0.529,6486,0
GO:0055085,"transmembrane transport",8.916%, 3.076, 5.826,6.058,23.0000,0.878,0.535,55085,0
GO:0006886,"intracellular protein transport",1.199%, 3.276, 5.333,5.187,1.0000,0.872,0.535,6886,0
GO:0006511,"ubiquitin-dependent protein catabolic process",0.584%, 0.546,-5.894,4.874,2.0000,0.802,0.536,6511,0
GO:0007166,"cell surface receptor signaling pathway",0.920%,-6.830, 0.516,5.072,3.0000,0.676,0.538,7166,0
GO:0007010,"cytoskeleton organization",0.786%, 6.718,-0.294,5.004,2.0000,0.871,0.540,7010,0
