Group	Genes	Taxa	IDs
ORTHOMCL671	30	1	pdam_00015693-RA(PocilloporaDamicornis) pdam_00017040-RA(PocilloporaDamicornis) pdam_00008766-RA(PocilloporaDamicornis) pdam_00006655-RA(PocilloporaDamicornis) pdam_00019850-RA(PocilloporaDamicornis) pdam_00013947-RA(PocilloporaDamicornis) pdam_00005455-RA(PocilloporaDamicornis) pdam_00015954-RA(PocilloporaDamicornis) pdam_00005207-RA(PocilloporaDamicornis) pdam_00016566-RA(PocilloporaDamicornis) pdam_00005340-RA(PocilloporaDamicornis) pdam_00023826-RA(PocilloporaDamicornis) pdam_00021638-RA(PocilloporaDamicornis) pdam_00023830-RA(PocilloporaDamicornis) pdam_00011948-RA(PocilloporaDamicornis) pdam_00012630-RA(PocilloporaDamicornis) pdam_00022069-RA(PocilloporaDamicornis) pdam_00008649-RA(PocilloporaDamicornis) pdam_00013791-RA(PocilloporaDamicornis) pdam_00021665-RA(PocilloporaDamicornis) pdam_00020597-RA(PocilloporaDamicornis) pdam_00000356-RA(PocilloporaDamicornis) pdam_00000669-RA(PocilloporaDamicornis) pdam_00011043-RA(PocilloporaDamicornis) pdam_00002198-RA(PocilloporaDamicornis) pdam_00007529-RA(PocilloporaDamicornis) pdam_00002213-RA(PocilloporaDamicornis) pdam_00005448-RA(PocilloporaDamicornis) pdam_00002099-RA(PocilloporaDamicornis) pdam_00000354-RA(PocilloporaDamicornis)
ORTHOMCL946	26	1	pdam_00001279-RA(PocilloporaDamicornis) pdam_00001801-RA(PocilloporaDamicornis) pdam_00015891-RA(PocilloporaDamicornis) pdam_00008218-RA(PocilloporaDamicornis) pdam_00007676-RA(PocilloporaDamicornis) pdam_00026050-RA(PocilloporaDamicornis) pdam_00010544-RA(PocilloporaDamicornis) pdam_00013415-RA(PocilloporaDamicornis) pdam_00012678-RA(PocilloporaDamicornis) pdam_00006051-RA(PocilloporaDamicornis) pdam_00007252-RA(PocilloporaDamicornis) pdam_00013803-RA(PocilloporaDamicornis) pdam_00020353-RA(PocilloporaDamicornis) pdam_00004123-RA(PocilloporaDamicornis) pdam_00023077-RA(PocilloporaDamicornis) pdam_00000478-RA(PocilloporaDamicornis) pdam_00004130-RA(PocilloporaDamicornis) pdam_00022722-RA(PocilloporaDamicornis) pdam_00000119-RA(PocilloporaDamicornis) pdam_00023896-RA(PocilloporaDamicornis) pdam_00025572-RA(PocilloporaDamicornis) pdam_00008553-RA(PocilloporaDamicornis) pdam_00000514-RA(PocilloporaDamicornis) pdam_00013631-RA(PocilloporaDamicornis) pdam_00020785-RA(PocilloporaDamicornis) pdam_00000468-RA(PocilloporaDamicornis)
ORTHOMCL1439	22	1	pdam_00025847-RA(PocilloporaDamicornis) pdam_00001413-RA(PocilloporaDamicornis) pdam_00016821-RA(PocilloporaDamicornis) pdam_00017168-RA(PocilloporaDamicornis) pdam_00000086-RA(PocilloporaDamicornis) pdam_00025736-RA(PocilloporaDamicornis) pdam_00013553-RA(PocilloporaDamicornis) pdam_00025855-RA(PocilloporaDamicornis) pdam_00020419-RA(PocilloporaDamicornis) pdam_00016236-RA(PocilloporaDamicornis) pdam_00003310-RA(PocilloporaDamicornis) pdam_00020615-RA(PocilloporaDamicornis) pdam_00025487-RA(PocilloporaDamicornis) pdam_00003149-RA(PocilloporaDamicornis) pdam_00002634-RA(PocilloporaDamicornis) pdam_00019797-RA(PocilloporaDamicornis) pdam_00022566-RA(PocilloporaDamicornis) pdam_00024509-RA(PocilloporaDamicornis) pdam_00025934-RA(PocilloporaDamicornis) pdam_00017327-RA(PocilloporaDamicornis) pdam_00016670-RA(PocilloporaDamicornis) pdam_00020099-RA(PocilloporaDamicornis)
ORTHOMCL1624	21	1	pdam_00022145-RA(PocilloporaDamicornis) pdam_00020258-RA(PocilloporaDamicornis) pdam_00023184-RA(PocilloporaDamicornis) pdam_00014704-RA(PocilloporaDamicornis) pdam_00019251-RA(PocilloporaDamicornis) pdam_00015602-RA(PocilloporaDamicornis) pdam_00023106-RA(PocilloporaDamicornis) pdam_00010547-RA(PocilloporaDamicornis) pdam_00005280-RA(PocilloporaDamicornis) pdam_00010364-RA(PocilloporaDamicornis) pdam_00020446-RA(PocilloporaDamicornis) pdam_00025054-RA(PocilloporaDamicornis) pdam_00003597-RA(PocilloporaDamicornis) pdam_00023936-RA(PocilloporaDamicornis) pdam_00001173-RA(PocilloporaDamicornis) pdam_00013424-RA(PocilloporaDamicornis) pdam_00021538-RA(PocilloporaDamicornis) pdam_00011022-RA(PocilloporaDamicornis) pdam_00002509-RA(PocilloporaDamicornis) pdam_00012951-RA(PocilloporaDamicornis) pdam_00020013-RA(PocilloporaDamicornis)
ORTHOMCL1842	20	1	pdam_00025164-RA(PocilloporaDamicornis) pdam_00019202-RA(PocilloporaDamicornis) pdam_00014376-RA(PocilloporaDamicornis) pdam_00008475-RA(PocilloporaDamicornis) pdam_00008469-RA(PocilloporaDamicornis) pdam_00020513-RA(PocilloporaDamicornis) pdam_00021273-RA(PocilloporaDamicornis) pdam_00008478-RA(PocilloporaDamicornis) pdam_00022569-RA(PocilloporaDamicornis) pdam_00025956-RA(PocilloporaDamicornis) pdam_00024660-RA(PocilloporaDamicornis) pdam_00017418-RA(PocilloporaDamicornis) pdam_00025023-RA(PocilloporaDamicornis) pdam_00008481-RA(PocilloporaDamicornis) pdam_00008477-RA(PocilloporaDamicornis) pdam_00025073-RA(PocilloporaDamicornis) pdam_00006219-RA(PocilloporaDamicornis) pdam_00020156-RA(PocilloporaDamicornis) pdam_00017421-RA(PocilloporaDamicornis) pdam_00017415-RA(PocilloporaDamicornis)
ORTHOMCL4458	13	1	pdam_00013555-RA(PocilloporaDamicornis) pdam_00016385-RA(PocilloporaDamicornis) pdam_00015626-RA(PocilloporaDamicornis) pdam_00011519-RA(PocilloporaDamicornis) pdam_00023290-RA(PocilloporaDamicornis) pdam_00000125-RA(PocilloporaDamicornis) pdam_00009181-RA(PocilloporaDamicornis) pdam_00015622-RA(PocilloporaDamicornis) pdam_00015625-RA(PocilloporaDamicornis) pdam_00014660-RA(PocilloporaDamicornis) pdam_00011551-RA(PocilloporaDamicornis) pdam_00006453-RA(PocilloporaDamicornis) pdam_00015624-RA(PocilloporaDamicornis)
ORTHOMCL5222	12	1	pdam_00009729-RA(PocilloporaDamicornis) pdam_00009734-RA(PocilloporaDamicornis) pdam_00009742-RA(PocilloporaDamicornis) pdam_00010882-RA(PocilloporaDamicornis) pdam_00002374-RA(PocilloporaDamicornis) pdam_00015238-RA(PocilloporaDamicornis) pdam_00020089-RA(PocilloporaDamicornis) pdam_00019165-RA(PocilloporaDamicornis) pdam_00018717-RA(PocilloporaDamicornis) pdam_00019953-RA(PocilloporaDamicornis) pdam_00007244-RA(PocilloporaDamicornis) pdam_00007767-RA(PocilloporaDamicornis)
ORTHOMCL7358	10	1	pdam_00009965-RA(PocilloporaDamicornis) pdam_00017603-RA(PocilloporaDamicornis) pdam_00021074-RA(PocilloporaDamicornis) pdam_00001000-RA(PocilloporaDamicornis) pdam_00006452-RA(PocilloporaDamicornis) pdam_00010622-RA(PocilloporaDamicornis) pdam_00013405-RA(PocilloporaDamicornis) pdam_00016722-RA(PocilloporaDamicornis) pdam_00011898-RA(PocilloporaDamicornis) pdam_00021071-RA(PocilloporaDamicornis)
ORTHOMCL7359	10	1	pdam_00006759-RA(PocilloporaDamicornis) pdam_00006757-RA(PocilloporaDamicornis) pdam_00006761-RA(PocilloporaDamicornis) pdam_00006760-RA(PocilloporaDamicornis) pdam_00006764-RA(PocilloporaDamicornis) pdam_00006756-RA(PocilloporaDamicornis) pdam_00006754-RA(PocilloporaDamicornis) pdam_00006765-RA(PocilloporaDamicornis) pdam_00006758-RA(PocilloporaDamicornis) pdam_00006766-RA(PocilloporaDamicornis)
ORTHOMCL7360	10	1	pdam_00018341-RA(PocilloporaDamicornis) pdam_00016667-RA(PocilloporaDamicornis) pdam_00025618-RA(PocilloporaDamicornis) pdam_00018828-RA(PocilloporaDamicornis) pdam_00025782-RA(PocilloporaDamicornis) pdam_00009932-RA(PocilloporaDamicornis) pdam_00022193-RA(PocilloporaDamicornis) pdam_00018342-RA(PocilloporaDamicornis) pdam_00025818-RA(PocilloporaDamicornis) pdam_00016668-RA(PocilloporaDamicornis)
